BAS_ID,open_7cluster,open_8cluster,open_9cluster,open_10cluster,open_11cluster,open_12cluster,open_13cluster,open_14cluster,open_15cluster,open_16cluster,open_17cluster,open_18cluster,open_19cluster,open_20cluster,open_21cluster,open_22cluster,open_23cluster,open_24cluster,open_25cluster,open_26cluster,open_27cluster,open_28cluster,open_29cluster,open_30cluster,close_7cluster,close_8cluster,close_9cluster,close_10cluster,close_11cluster,close_12cluster,close_13cluster,close_14cluster,close_15cluster,close_16cluster,close_17cluster,close_18cluster,close_19cluster,close_20cluster,close_21cluster,close_22cluster,close_23cluster,close_24cluster,close_25cluster,close_26cluster,close_27cluster,close_28cluster,close_29cluster,close_30cluster
21300,5,2,2,2,2,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,5.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,6.0,6.0,6.0,6.0,6.0
21301,6,6,6,6,6,6,6,2,2,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,5.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,9.0,9.0,9.0,9.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,0.0,5.0,2.0,2.0
21302,6,6,6,6,6,6,6,2,2,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,5.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,9.0,9.0,9.0,9.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,0.0,5.0,2.0,2.0
21303,6,6,6,6,6,6,6,2,2,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,5.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,9.0,9.0,9.0,9.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,0.0,5.0,2.0,2.0
21304,6,6,6,6,6,6,6,2,2,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,5.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,9.0,9.0,9.0,9.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,0.0,5.0,2.0,2.0
21305,6,6,6,6,6,6,6,2,2,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,5.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,9.0,9.0,9.0,9.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,0.0,5.0,2.0,2.0
21306,5,2,2,2,2,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,5.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,9.0,9.0,9.0,9.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,0.0,5.0,2.0,2.0
21307,5,2,2,2,2,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,5.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,6.0,6.0,6.0,6.0,6.0
21308,5,2,2,2,2,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,5.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,6.0,6.0,6.0,6.0,6.0
21309,5,2,2,2,2,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,5.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,9.0,9.0,9.0,9.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,0.0,5.0,2.0,2.0
